cluster_canonico_id,cluster_canonico_key,cluster_canonico_label,cluster_canonico_tipo,cluster_canonico_display_label,size,first_date,last_date,span_days,active_years,cluster_modes,operation_names,crime_modes,llm_tags,sample_titles,label_pretty
1,crimes_contra_crianca,crimes_contra_crianca,Por crime,crimes_contra_crianca | 2019-2026 | n=1289 | id=1,1289,2019-02-27 21:00:00,2026-05-08 07:32:00,2626,8,8,Anjos | Escudo | Cassiel | Guardioes | Kori,crimes_contra_crianca | abuso_sexual_infantil | crimes_ciberneticos_financeiros | crimes_odio_discriminacao | organizacao_criminosa,Operação PF | Polícia Federal | Destaque | Pornografia infantil | São Paulo,PF combate disseminação de pornografia infantil pela internet || PF combate pornografia infantil na internet em SC || PF combate exploração sexual infanto juvenil pela internet,Crimes contra crianca
2,crime_trafico_drogas,crime_trafico_drogas,Por crime,crime_trafico_drogas | 2011-2026 | n=1235 | id=2,1235,2011-11-29 21:00:00,2026-05-08 07:09:00,5273,9,2,Delivery | Nova Alianca | Rota | Horus | Closed Gate,trafico_drogas | organizacao_criminosa | lavagem_dinheiro | crimes_armas | trafico_armas,Operação PF | Destaque | Polícia Federal | Tráfico de drogas | São Paulo,Polícia Federal apreende drogas sintéticas remetidas pelos Correios || Polícia Federal deflagra Operação Lagoa Verde para combater tráfico internacional de drogas || PF e PCSC combatem o tráfico de drogas em Santa Catarina,Trafico de drogas
3,crime_corrupcao_desvio,crime_corrupcao_desvio,Por crime,crime_corrupcao_desvio | 2011-2026 | n=1154 | id=3,1154,2011-11-29 21:00:00,2026-05-07 09:32:00,5272,9,14,Lava Jato | Sangria | Expurgo | Queda | Overclean,corrupcao_desvio | organizacao_criminosa | lavagem_dinheiro | falsificacoes | falsidade_documental,Operação PF | Destaque | Polícia Federal | Desvio de recursos públicos | Corrupção,Polícia Federal deflagra operação para combater desvio de recursos públicos em Pernambuco || PF investiga servidor público supostamente envolvido em crime de lavagem de dinheiro || Operação Fantoche investiga esquema de fraudes em licitação,Corrupcao/desvio
4,crimes_ambientais,crimes_ambientais,Por crime,crimes_ambientais | 2019-2026 | n=682 | id=4,682,2019-02-27 21:00:00,2026-05-06 07:41:00,2624,8,13,Sentinelas | Febre | Retomada | AIFA | Exodo,crimes_ambientais | organizacao_criminosa | lavagem_dinheiro | crimes_armas | falsificacoes,Operação PF | Destaque | Polícia Federal | Rondônia | Crimes ambientais,PF combate extração ilegal de quartzito em Minas Gerais || Polícia Federal combate crimes ambientais no rio Jequitinhonha || PF deflagra operação contra a extração e comércio ilegal de madeira na Amazônia,Crimes ambientais
5,crime_falsificacoes,crime_falsificacoes,Por crime,crime_falsificacoes | 2019-2026 | n=523 | id=5,523,2019-01-06 22:00:00,2026-04-29 11:28:00,2669,8,6,Denarius Investigacao | Stellio | Efigie | Pesadelo | Fragmentado,falsificacoes | falsidade_documental | organizacao_criminosa | crimes_ciberneticos_financeiros | lavagem_dinheiro,Operação PF | Destaque | Polícia Federal | Moeda falsa | São Paulo,PF investiga esquema criminoso de trocas de moedas em empresa de segurança privada || PF deflagra Operação Leptonet para combater produção e circulação de moeda falsa || PF prende homem acusado de falsificação de documentos e lavagem de dinheiro,Falsificacoes
6,crime_contrabando_descaminho,crime_contrabando_descaminho,Por crime,crime_contrabando_descaminho | 2019-2026 | n=517 | id=6,517,2019-02-27 21:00:00,2026-05-06 10:54:00,2624,8,5,Horus | Protetor | Evali | Insistencia | Concorrencia Desleal,contrabando_descaminho | organizacao_criminosa | lavagem_dinheiro | falsificacoes | crimes_ambientais,Operação PF | Destaque | Polícia Federal | Contrabando | Paraná,PF desarticula grupo criminoso de contrabando de cigarros || PF combate contrabando de cigarros paraguaios em Minas Gerais e São Paulo || Operação Comboio investiga organização criminosa especializada em contrabando de cigarros paraguaios,Contrabando/descaminho
7,crime_lavagem_dinheiro,crime_lavagem_dinheiro,Por crime,crime_lavagem_dinheiro | 2019-2026 | n=392 | id=7,392,2019-02-27 21:00:00,2026-05-07 09:52:00,2625,8,10,Colossus | Amphis | Narco Azimut | Kairos | Mamon,lavagem_dinheiro | organizacao_criminosa | trafico_drogas | contrabando_descaminho | corrupcao_desvio,Operação PF | Destaque | Lavagem de dinheiro | Polícia Federal | lavagem de dinheiro,PF deflagra 60ª Fase da Operação Lava Jato Operação – “Ad Infinitum” || PF desarticula grupo criminoso responsável por esquema de fraudes em pagamentos de tributos federais || Polícia Federal apreende R$ 677 mil em ação de combate a crimes financeiros na fronteira com o Uruguai,Lavagem de dinheiro
8,crime_fraude_previdenciaria,crime_fraude_previdenciaria,Por crime,crime_fraude_previdenciaria | 2019-2026 | n=356 | id=8,356,2019-04-02 11:32:00,2026-05-06 10:35:00,2590,8,7,Sem Desconto | Heteronimo | Nocivum | Recidiva | Apate,fraude_previdenciaria | organizacao_criminosa | crimes_ciberneticos_financeiros | falsificacoes | corrupcao_desvio,Operação PF | Destaque | Polícia Federal | Fraude | INSS,PF deflagra Operação Recidiva para combater fraudes contra a Previdência Social || PF deflagra a Operação Game Over para apurar a prática de fraudes em desfavor do INSS || PF combate fraudes a benefício social em Minas Gerais,Fraude previdenciaria
9,crime_roubo_furto,crime_roubo_furto,Por crime,crime_roubo_furto | 2019-2026 | n=344 | id=9,344,2019-02-27 21:00:00,2026-04-30 09:56:00,2618,8,0,Elisios | Extravio | Horizonte | Saque Fantasma | Bucaneiro,roubo_furto | organizacao_criminosa | trafico_drogas | crimes_armas | crimes_ciberneticos_financeiros,Operação PF | Destaque | Polícia Federal | São Paulo | Roubo,Operação Proteção investiga roubo de mercadorias transportadas pelos Correios na Paraíba || Operação Malaco investiga assalto a agência dos Correios na Paraíba || Operação Retomada desarticula grupo envolvido em roubo de cargas em Alagoas,Roubo/furto
10,crimes_ciberneticos_financeiros,crimes_ciberneticos_financeiros,Por crime,crimes_ciberneticos_financeiros | 2019-2026 | n=317 | id=10,317,2019-02-27 21:00:00,2026-05-06 07:59:00,2624,8,6,Lesa Patria | Lesa Patria Acao | Nao Seja | Phishing | Acesso Restrito,crimes_ciberneticos_financeiros | organizacao_criminosa | fraude_bancaria_cibernetica | lavagem_dinheiro | falsificacoes,Operação PF | Destaque | Polícia Federal | Distrito Federal | São Paulo,PF investiga saques indevidos de precatórios || Operação Godela investiga fraudes em financiamentos de veículos no RN || PF e MPF combatem fraudes contra a Caixa Econômica Federal,Ciberneticos/financeiros
11,crimes_armas,crimes_armas,Por crime,crimes_armas | 2019-2026 | n=205 | id=11,205,2019-04-01 18:49:00,2026-05-06 09:32:00,2591,8,9,Bate Lata | Chicago | Opportunitas | Campana | Araticum,crimes_armas | trafico_armas | organizacao_criminosa | trafico_drogas | contrabando_descaminho,Operação PF | Destaque | Polícia Federal | Rio de Janeiro | Minas Gerais,Operação Segurança Legal III encerra atividades de 105 empresas clandestinas no país || Operação Araticum cumpre mandados de busca e apreensão na fronteira com a Argentina || PF deflagra operação para desarticular grupos indígenas que disputam comando de aldeia em MS,Armas
12,crime_eleitoral,crime_eleitoral,Por crime,crime_eleitoral | 2011-2026 | n=184 | id=12,184,2011-11-29 21:00:00,2026-05-08 09:04:00,5273,9,11,Voo | Voto Limpo | Pao | Eleicoes 2020 | Temis,eleitoral | crime_eleitoral | corrupcao_desvio | organizacao_criminosa | falsificacoes,Operação PF | Destaque | Polícia Federal | Crimes eleitorais | Crime eleitoral,PF cumpre mandado de busca e apreensão em escritório de partido político em Parauapebas || PF deflagra operação para reprimir crimes eleitorais no Ceará || PF inicia Operação Boitatá com o fim de garantir eleições seguras no Pará,Crimes eleitorais
13,crime_exploracao_pessoas,crime_exploracao_pessoas,Por crime,crime_exploracao_pessoas | 2019-2026 | n=174 | id=13,174,2019-04-18 19:00:00,2026-04-16 07:18:00,2554,8,15,Resgate | Migracao Legal | FO M | Falsas Promessas | Perfidia,exploracao_pessoas | trabalho_escravo_trafico_pessoas | organizacao_criminosa | contrabando_descaminho | ameaca,Operação PF | Destaque | Polícia Federal | Migração ilegal | Minas Gerais,PF resgata venezuelanos submetidos à condição análoga à de escravo || PF resgata venezuelanos submetidos à condição análoga à de escravo || Operação Sem Volta para Casa investiga crime de redução a condição análoga à de escravo,Exploracao de pessoas
14,crimes_sistema_financeiro,crimes_sistema_financeiro,Por crime,crimes_sistema_financeiro | 2019-2026 | n=120 | id=14,120,2019-03-30 21:00:00,2026-04-23 07:10:00,2580,8,10,Black Flag | Pasto | Loki | Valuta | Halving,crimes_sistema_financeiro | lavagem_dinheiro | organizacao_criminosa | crimes_ciberneticos_financeiros | corrupcao_desvio,Operação PF | Destaque | Polícia Federal | Rio Grande do Sul | São Paulo,Operação da PF apura crime contra o Sistema Financeiro Nacional em Natal || Operação Consórcio 200 combate gestão fraudulenta em empresa de consórcio || Operação Quéfren - PF desarticula organização criminosa que promovia pirâmide financeira,Sistema financeiro
15,crime_homicidio,crime_homicidio,Por crime,crime_homicidio | 2019-2026 | n=104 | id=15,104,2019-02-27 21:00:00,2026-04-29 10:08:00,2617,8,2,Menes | Caninana | Mig | Impetum | Determinatio,homicidio | organizacao_criminosa | trafico_drogas | crimes_armas | roubo_furto,Operação PF | Destaque | Polícia Federal | Bahia | Homicídio,"PF cumpre mandados em investigação do caso Marielle Franco || Operação Jugular investiga assalto a agência da Caixa Econômica no Rio Grande do Sul || PF, MPF, FUNAI e SESAI apuram denúncias de crimes em aldeia indígena na região dos Waikás",crime homicidio
